102 Dalmatians,2000,35 Metascore,Kevin Lima,$66.96M
12 Years a Slave,2013,96 Metascore,Steve McQueen,$56.67M
127 Hours,2010,82 Metascore,Danny Boyle,$18.34M
13 Hours,2016,48 Metascore,Michael Bay,$52.85M
1917,2019,78 Metascore,Sam Mendes,$159.23M
20th Century Women,2016,83 Metascore,Mike Mills,$5.66M
21 Grams,2003,70 Metascore,Alejandro G. Iñárritu,$16.29M
3:10 to Yuma,2007,76 Metascore,James Mangold,$53.61M
45 Years,2015,94 Metascore,Andrew Haigh,$4.25M
8 Mile,2002,77 Metascore,Curtis Hanson,$116.72M
A Beautiful Day in the Neighborhood,2019,80 Metascore,Marielle Heller,$61.70M
A Beautiful Mind,2001,72 Metascore,Ron Howard,$170.74M
A Better Life,2011,64 Metascore,Chris Weitz,$1.76M
A History of Violence,2005,82 Metascore,David Cronenberg,$31.49M
A Mighty Wind,2003,81 Metascore,Christopher Guest,$17.51M
A Quiet Place,2018,82 Metascore,John Krasinski,$188.02M
A Series of Unfortunate Events,2004,62 Metascore,Brad Silberling,$118.63M
A Serious Man,2009,88 Metascore,Ethan Coen,$9.19M
A Shaun the Sheep Movie: Farmageddon,2019,79 Metascore,Will Becher,$9.17M
A Single Man,2009,77 Metascore,Tom Ford,$215.29M
A Star Is Born,2018,88 Metascore,Bradley Cooper,$78.62M
A.I. Artificial Intelligence,2001,65 Metascore,Steven Spielberg,$65.02M
About Schmidt,2002,85 Metascore,Alexander Payne,$41.39M
About a Boy,2002,75 Metascore,Chris Weitz,$24.34M
Across the Universe,2007,56 Metascore,Julie Taymor,$50.19M
Ad Astra,2019,80 Metascore,James Gray,$22.25M
Adaptation.,2002,83 Metascore,Spike Jonze,$3.01M
Aftersun,II 2022,95 Metascore,Charlotte Wells,$58.20M
Albert Nobbs,2011,57 Metascore,Rodrigo García,$334.19M
Ali,2001,65 Metascore,Michael Mann,$6.26M
Alice in Wonderland,I 2010,53 Metascore,Tim Burton,$25.11M
All Is Lost,2013,87 Metascore,J.C. Chandor,$40.10M
All the Money in the World,2017,72 Metascore,Ridley Scott,$32.53M
Allied,2016,60 Metascore,Robert Zemeckis,$0.67M
Almost Famous,2000,90 Metascore,Cameron Crowe,$130.10M
Alone Yet Not Alone,2013,84 Metascore,Ray Bengston,$130.16M
American Beauty,1999,76 Metascore,Sam Mendes,$150.12M
American Gangster,2007,90 Metascore,Ridley Scott,$350.13M
American Hustle,2013,72 Metascore,David O. Russell,$6.00M
American Sniper,2014,90 Metascore,Clint Eastwood,$6.74M
American Splendor,2003,95 Metascore,Shari Springer Berman,$12.57M
Amour,2012,89 Metascore,Michael Haneke,$13.04M
The Quiet Girl,2022,85 Metascore,Colm Bairéad,$1.04M
An Education,2009,54 Metascore,Lone Scherfig,$12.82M
Angela's Ashes,1999,83 Metascore,Alan Parker,$39.26M
Animal Kingdom,2010,63 Metascore,David Michôd,$3.76M
Anna Karenina,I 2012,56 Metascore,Joe Wright,$4.46M
